ubi,plot_id,trt,width,length,weight_gain_per_day
plot29_01,WT10,W,3,7,201.1675824
plot29_02,bx10,b,3,6,346.7532468
plot29_03,WT09,W,3,5,294.2857143
plot29_04,bx09,b,3,4,148.7394958
plot29_05,WT08,W,3,3,457.5324675
plot29_06,bx08,b,3,2,300
plot29_07,WT07,W,3,1,358.4065934
plot29_08,bx07,b,2,7,295.9340659
plot29_09,WT06,W,2,6,292.2619048
plot29_10,bx06,b,2,5,325.3896104
plot29_11,WT05,W,2,4,157.8296703
plot29_12,bx05,b,2,3,381.547619
plot29_13,WT04,W,2,2,478.2738095
plot29_14,bx04,b,2,1,224.5254745
plot29_15,WT03,W,1,7,240.4761905
plot29_16,bx03,b,1,6,359.4897959
plot29_17,WT02,W,1,5,221.474359
plot29_18,bx02,b,1,4,211.5955473
plot29_19,WT01,W,1,3,408.982684
plot29_20,bx01,b,1,2,275.4709576
